ID ,"How many minutes did you sleep LAST NIGHT - i.e., the night before you took the cognitive tests? ",What was your MEAN number of times you awoke during the night?,What was the STANDARD DEVIATION of the number of times you awoke during the night?,What was your MEAN total minutes of sleep DURING THE NIGHT?,What was the STANDARD DEVIATION of your total minutes of sleep DURING THE NIGHT?,What was your MEAN restfulness rank?,What was the STANDARD DEVIATION of your restfulness rank?,What was your MEAN total MINUTES of active exercise over past 24 hours?,What was the STANDARD DEVIATION of the total MINUTES of active exercise over past 24 hours?,What was your MEAN stress level over the last 24 hours?,What was the STANDARD DEVIATION of your stress level over the last 24 hours?,What was your MEAN amount of caffeine (mg) you ingested in the past 24 hours?,What was the STANDARD DEVIATION of the amount of caffeine (mg) you ingested in the past 24 hours?,How many nights did you take something to help you sleep last week ,What was your mean RT?,What was your median RT?,What was your max RT?,What was your min RT?,What was your mean RT500?,What was your median RT500?,What was your max RT500??,What was your min RT500?,What was your number of lapses (column X)?,What was your mean lapse RT?,What was your cumulative lapse RT ?,What was your count of false starts ?,What was your false start RT?,"Memory Test: What was the total time it took you to complete the first test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your first test?,"Memory Test: What was the total time it took you to complete the second test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your second test?,"How rested do you feel right now, on a scale of 1-10, where 1=not rested at all and 10=very well rested? Please note, if you are filling out this survey AFTER your lab has ended, try to answer this based on how rested you felt DURING lab.",What was your MEAN total minutes of sleep DURING THE NIGHT?,Memory Test 1: Herustic score,Memory Test 2: Herustic score
197,275,0,0,441.071,133.9215,6.7145,2.593,5.357,9.4015,2.9285,1.639,64,94.494,0,430.2415,325.5,5728,199.5,327.353,323,427,199.5,2.5,NA,NA,4.5,6.1645,131.5,1,113.5,0,4.5,428.2145,136.5,113.5
198,570,0,0,574.286,11.339,8.2145,0.8205,2.286,0.756,3,1.1225,0,0,0,428.8935241,396.25,1015,261.5,358.292683,354.25,477,261.5,18,117.555,3638.5,3.5,4.284638554,152.805,0,133.895,0,8,574.286,152.805,133.895
199,514,0.5,0.787,478.5,122,6.27,2.55,25.3,15.4,4.6,1.9,100,26.45,2.5,368.9,352.5,891,277,358,351.5,482,277,2.5,159.5,527.5,3,3.6,130,1,111.5,0.5,6.5,470.85,135,114
200,400,0.714,0.875,449.643,65.9705,7.7855,0.9015,40,19.9935,6.7855,1.6345,12.857,21.958,2,358.8360294,348.25,602.5,276.5,354.9386447,347,496,276.5,1.5,62.25,106.5,0.5,0.625,146,0,136.5,0,4.5,447.5,146,136.5
201,390,4.857,1.7245,505,66.745,5.9285,1.25,71.0715,10.6575,9,1.189,216.4285,17.0085,2,491.7380953,459,1881.5,162,416.7699464,425.5,497,162,27,119.9691729,3734.5,0.5,0.641025641,156.5,0,146,0,4,505,156.5,146
202,635,0.925,0.858,569.714,50.8815,5.3575,1.1925,42.143,18.8935,5.4285,1.237,15.2855,19.551,0,379.3930997,363,767,142,364.6182219,357.25,479,142,5,120.25,548,2.5,3.095091078,142.5,0,134.5,0,4,564.712,142.5,134.5
203,437.5,0.0715,0.189,471.143,117.735,6.357,1.4295,18.2145,36.641,7.5,0.9845,321.0715,96.818,0,408.3703704,387,966,291,378.3267458,377.5,490,291,8,174.9166667,1560,0.5,0.617283951,190,0,190,0,5.5,449.714,190,190
204,510,0,0,501.4285,44.3045,4.9285,2.0195,25,0,7,0.661,0,0,0,370.1561914,347.75,963.5,264.5,346.8455869,344,465.5,264.5,6,334.5909091,1040.5,0.5,0.5,64.565,0,60.85,0,3,501.4285,64.565,60.85
205,477.5,0.2145,0.2675,450,65.211,5.714,1.1705,31.4285,39.787,6.7145,0.8935,225,39.6865,1,326.5251832,319,492.5,275.5,326.5251832,319,492.5,275.5,0,NA,NA,0.5,0.641025641,158.5,0.5,135.5,0,5,443.9285,161,135.5
206,390,0,0.378,426.0715,74.035,5.357,1.6305,50,26.337,5.6425,1.257,0,0,0,336.7276938,330,464,272.5,336.7276938,330,464,272.5,0,NA,NA,0.5,0.609756098,155.06,0,149.435,0,5,397.5,155.06,149.435
207,480,1.0715,0.8945,497.857,106.1975,4.2855,1.4595,7.143,18.898,3.5715,1.1075,111.4285,124.0355,4.5,331.9942789,327.25,517,272,329.0996142,326.75,426.5,272,1,NA,NA,0,0,117.805,0.5,98,0,4,482.143,120.305,98
208,480,0,0,482.857,62.4765,6.134,1.391,67.857,16.22,6.5,1.297,72.8575,25.1445,0,363.6780548,352,705,287.5,355.9322903,350.5,483,287.5,2.5,112.583335,271.5,0.5,0.632915,154,0,157,0,6,482.857,154,157
209,630,0.286,0.4565,597.857,102.3085,6.9285,0.6645,15,21.339,6.357,0.845,33.9285,62.9685,4,384.174,362.5,770.5,195,355.9985,352.5,492.5,195,9.5,107.044,1156,3,3.9895,162.5,3,132,2.5,7,589.2855,177.5,144.5
210,435,0.143,0.378,482.8575,86.032,5.7145,2.754,79.2855,18.298,5.571,2.262,71.4285,112.7395,2,330.9823327,324,507.5,272.5,327.8705122,323.5,428.5,272.5,1,NA,NA,3.5,4.36209939,117.395,0,120.245,0,4.5,473.929,117.395,120.245
211,465,0.429,0.9605,516.4285,65.1045,6.0715,0.345,65,50.2755,6.571,2.1175,0,0,1.5,388.3045,341.75,1823.5,289.5,346.805,340,445,289.5,5,315,2715.5,0.5,0.615,161.5,0,142.5,0,6,516.4285,161.5,142.5
212,492,2.9285,0.9015,506.2145,38.698,6.7855,1.344,50.714,23.9955,5.6425,0.88,186.0715,156.6665,0.5,312.9296944,302.25,484,261,312.9296944,302.25,484,261,0,NA,NA,0,0,129.5,0,131.5,0,6,506.2145,129.5,131.5
213,315,1.0715,0.9165,434.857,96.877,5.071,1.482,30.357,16.751,6.643,2.425,128.5715,102.247,0,312.16125,310.75,396.5,255.5,312.16125,310.75,396.5,255.5,0,NA,NA,0.5,0.625,143.7,0,129.9,0,4,426.2855,143.7,129.9
214,481,0.5,0.535,461.2145,51.405,7.2855,1.0655,55,10.13,4,1.0175,127.5,108.746,1,328.7650603,323,466.5,259,328.7650603,323,466.5,259,0,NA,NA,1,1.204819277,129,0,124,0.5,7,454.9285,129,126.5
215,345,2.643,0.639,466.429,71.5255,3.5,1.4455,26.7855,16.7185,6.9285,1.512,184.2855,100.1645,7,397.1710334,361,1471.5,284.5,364.7956052,358.5,486.5,284.5,6,244.375,1677.5,0.5,0.666666667,80.14,0,79.765,0,1.5,460,80.14,79.765
216,367.5,1.499285715,1.124,449.6445,91.565,8.357,0.7385,60,0,4,1.032,0,0,0,393.14375,331.25,1722.5,255.5,330.9071811,321.75,482.5,255.5,8.5,360.425,3626.5,4.5,5.609756098,129.115,0,126.92,0,8.5,436.7842857,129.115,126.92
217,472.5,2.0715,2.0685,506.0715,120.17,3.4285,1.9455,44.2855,10.264,3.4285,1.384,39.143,71.7495,3.5,416.5224467,388,998.5,165,375.3333334,375.25,494,165,10.5,192.0263158,2220.5,3.5,4.353054353,124.86,0,130.41,0,4,440.357,124.86,130.41
218,440,2,0.8535,424.2855,68.3155,5.143,2.4765,38.214,18.2075,4.5715,1.701,0,0,0,355.66495,321.75,965,268,1694888.411,318.25,484,268,4,235.36665,909.5,0,0,126.975,0,131.385,0,7.5,423.214,126.975,131.385
219,425,0.7855,0.3935,397.143,73.244,4.5,2.7655,75,34.9995,7.8575,1.9665,285.7145,97.5595,1,316.1355,309,431,255,316.1355,309,431,255,0,NA,NA,0,0,174,0,152.5,0,8,397.143,174,152.5
220,527.5,3.143,1.7735,541.0715,87.507,5.357,2.116,22.5,30.3695,6.0715,2.0015,184.5,108.7175,3.5,431.0419579,381,2252,293.5,379.5586154,376.5,490.5,293.5,7.5,322.4,3044,1,1.260409639,130.605,0,137.345,0.5,3,496.4285,130.605,139.845
221,345,0.857,0.94,439.286,92.481,5.857,1.708,60,0,6.7855,1.5935,208.9285,15.6695,0,425.1538462,399.25,559.75,356.75,387.6322404,384,489,393.5,11.5,121.5784314,1691,2,2.564102564,136.5,0.5,128.4,0,5,421.4285,139,128.4
222,520,0,0,506.0715,51.5205,6.643,1.233,61.7855,35.6065,7.571,1.0295,33.4285,48.667,0,393.7732229,375,772.5,290,374.98825,368.25,499,290,7,72.1815,710,0,0,141.5,0.5,132,0,5.5,486.7855,144,132
223,312.5,0.3575,0.7735,425.35,74.2225,5.643,1.0565,46.585,10.6695,5.6395,1.535,0,0,0.5,349.85,327.25,868,277,337.555,325.5,476.5,277,3.5,178.8,436.5,1,1.25,175,0,142.5,0,5.5,417.493,175,142.5
224,465,0,0,542.143,74.0005,7.714,1.3565,48.5715,21.0055,3.2855,1.862,285,136.967,0,483.7509914,463.5592106,1650,300,381.5372768,368.5,494,300,25,182.6409214,5166.5,9,12.27469358,193.075,0,186.305,0,5.5,542.143,193.075,186.305
225,425,1.000142857,0.853594866,482.8572857,60.893,6.714,1.6235,83.57128572,34.839,8.5715,0.866,53.5715,66.8155,7,313.4512012,288.75,720,252.5,301.1252012,287.75,493.5,252.5,2.5,NA,NA,1.5,1.829268293,150.29,0,144.41,0,7,482.8572857,150.29,144.41
226,435,3.7145,1.502,512.1425,57.1405,7.7855,1.434,16.786,11.979,6.393,1.378,10,26.4575,0,388.8125,370.5,914.5,275,369.3896405,359.5,493,275,6.5,130.875,773.5,0.5,0.625,192,0,199,0,6.5,505.7145,192,199
227,442.5,0.8575,0.5115,453.571,42.1735,6.7855,1.044,28.571,10.594,5.286,1.0225,201.357,55.834,0,354.1371199,333,718,270.5,343.6745585,330.5,491.5,270.5,3.5,97.125,328,1,1.197647734,183.685,0.5,164.57,0,4.5,453.571,186.185,164.57
228,330,1.143,1.069,467.143,106.908,4.786,1.8315,26.9165,21.694,4.643,2.8965,10.4165,16.311,3.5,617.945,208.750845,5584,285,384.3486,384.5,495.5,285,20,767.395,14986.5,1.5,2.025,130.5,0,126,0,4,439.286,130.5,126
229,240,0.429,0.787,385.714,130.9185,7.4285,1.326,46.4285,15.5775,3.5,1.5105,0,0,0,308.7890659,305,377,257.5,308.7890659,305,377,257.5,0,NA,NA,0.5,0.609756098,94.63,0.5,82.715,0,7,385.714,97.13,82.715
230,480,0.0715,0.189,480,78.773,6.0715,1.7375,60,5.669,7.7855,1.488,113.7145,69.591,0,360.68455,349.75,497.5,302,359.8871,349.75,488,302,0.5,NA,NA,0,0,108.5,0,101.5,0,4.5,480,108.5,101.5
231,390,0,0,81.4285,139.335,6.928428572,3.137357892,0,0,4.9285,2.719,131.2855,50.0755,3,545.58675,356.5,5213,256,338.3986,331.3,479.5,256,15.5,616.82145,13272.5,8,10.4921375,75.5,0,71.5,0,5.5,451.786,75.5,71.5
232,412.5,0.357,0.5565,465,90.105,5.5,1.5265,36.429,8.018,5.9285,2.191,307.1425,125.675,0,446.2383155,408,943,312,397.4505209,393.75,493.5,312,13.5,171.35,2459.5,1,1.265822785,158.58,0,133,0,5,465,158.58,133
233,300,0.0715,0.189,489.643,135.904,7.2145,1.69,116.4285,70.9135,6.9765,1.035,60.643,96.9325,1,430.8999,386.75,2410.5,297,387.184,380.75,477,297,9,272.166645,2449.5,1.5,1.8829115,125.5,0,116.5,0,5.5,465,125.5,116.5
234,390,0.786,0.488,510.7105,114.036,6.358,2.365,28.215,23.635,1.485,1.055,28.57,75.59,0,350.315,336,696.5,277.5,345.91,335,489.5,277.5,1,196.5,196.5,1,1.265,111,0,100.5,0,5,510.7105,111,100.5
235,390,0,0,477.857,84.393,6.7145,2.4195,60,0,4.643,2.929,97.1425,85.863,4.5,480.5875354,330,10941,254.5,338.1153847,328.25,493.5,254.5,4,2255.6,11179,3,3.644206455,156.5,0,139,0,4,477.857,156.5,139
236,460,0.5,0.622,466.786,58.959,5.7145,2.1635,19.5235,40.51,3.429,1.323,427.0715,85.184,2.5,365.4136,349.5,751,257.5,346.5446,339.5,478,257.5,5,NA,NA,1,1.234568,158.5,0,168,0,5,463.929,158.5,168
237,445,2.6425,0.95,530.714,59.9905,5.4285,1.14,103.5715,21.57,5.634,1.512,50.7145,52.9105,2,381.8725,371.5,717.5,293.5,372.507,366,492,293.5,3.5,76.55,313,0,0,146.5,0,139,0,4.5,500,146.5,139
238,455,1.9285,0.6335,452.9765,55.2015,6.2105,0.802,84.9985,20.026,4.357,1.652,137.5,74.7585,0,491.2854,396.5,3293,234.5,361.99185,353.5,493.5,234.5,19.5,387.2958,7530.5,2.5,3.173077,111.1,0,108,0,5.5,455.714,111.1,108
239,390,2.0715,1.236,419.643,61.248,5.7855,1.1335,93.3335,54.272,4.7735,1.0665,7.857,20.788,0,420.5882254,383,965.5,288.5,381.4369048,377.75,488,288.5,12,136,1590.5,0.5,0.657894737,141,1,135.5,2,5.5,410,146,145.5
240,433.5,1.5715,1.0445,441.286,42.104,6.643,1.2905,37.1425,13.63,7.4285,1.195,24.643,46.8515,3,340.30355,336.5,517.5,259,338.85385,335.5,450,259,0.5,NA,NA,1.5,1.8674095,130,0,127,0,4.5,430.587,130,127
241,540,0,0,501.42,56.695,6.85,0.938,21.065,18.255,6.8285,1.262,197.107,40.296,0,370.435,356.75,678,139,359.07,354.5,482,139,3.5,105.275,403,1,1.2725,108,0,108,0,6,501.42,108,108
242,420,1.2835,2.0975,464.6435,91.1525,5.788,2.6525,45.7145,22.533,3.927,1.947,0,0,0,346.670171,332,606,289.5,338.9055723,330.75,473.5,289.5,3,49.625,186.5,0.5,0.574712644,151,0,116.5,0,7,460.3535,151,116.5
243,516,2,1.0175,539.786,28.6605,9.286,0.6125,52.857,9.56,8.2855,1.164,103.5715,12.979,3.5,413.8668,350.5,1967,277.5,346.20145,337.5,488.5,277.5,9,481.21875,4175,13,16.25254,93.5,0,94,0,8.5,539.786,93.5,94
244,450,0,0,459.286,134.069,5.9285,1.0155,26.429,29.3865,5.7855,0.488,180.707,41.014,0,345.3808017,337.75,601,281,341.0899123,336.25,457,281,1.5,57,102.5,0.5,0.632911393,148,0,130,0,5.5,466.4285,148,130
245,415,1.5,1.2775,432.857,96.34,6.0715,1.25,40.143,14.7,5.8575,2.5015,12.8575,34.017,0,364.850521,354,730,277,356.3461436,352.75,473.5,277,2,173.8333334,414.5,0.5,0.6329115,173.5,0,140.5,0,6,427.857,173.5,140.5
246,460,1.0715,0.694,478.214,43.2305,7.3575,1.0765,26.0715,15.3015,5.7855,1.6885,16,23.152,0,352.1137821,341.25,594,279.5,344.8948918,337.5,445,279.5,3,29.2,128,0,0,114,0,115,0,7,473.9285,114,115
247,242.75,0.2145,0.2675,219.8805,21.449,8.0715,0.858,67.464,21.325,5.5,0.8005,0,0,0,336.6615,325.5,579,282,329.1492,323.75,434,282,3,67.8,117,0.5,0.588,125,0,122.5,0,6,219.8805,125,122.5
248,540,1.2145,0.2675,528.929,42.191,6.143,1.053,73.9285,24.086,7.0715,0.567,289.286,46.396,7,373.0182192,330.75,2741.5,262,333.5725414,329.75,471.5,262,4,527.7666667,2608.5,0,0,155.5,0,147.5,0,5,528.929,155.5,147.5
249,405,0.143,0.378,392.0715,85.55,5.286,2.3875,103.857,32.808,8.4285,1.742,24.2855,64.254,0,346.6208035,330.5,504.5,272,343.4512195,330.5,483,272,1.5,NA,NA,0,0,99,0,112,0,5,382.7855,99,112
250,555,0.2145,0.3935,541.935,22.48,8.215,1.436,37.8565,23.71,3.7165,2.456,0,0,0.5,360.775,335.5,905.5,258.5,340.06,334,469,258.5,3.5,197.5,1147.5,2.5,2.975,138.69,0,136.5,0,5.5,539.795,138.69,136.5
251,450,0,0,491.7855,53.9625,8.502,1.232,14.288,22.4755,6.215,1.613,90,123.9185,0,401.435,365.5,1019.5,287.5,368.34,359.5,489,287.5,9.5,152.11,1427.5,8,9.985,135.095,0,133.955,0.5,7.5,488.573,135.095,136.455
252,465,1.0715,1.14,484.2855,53.781,6.9285,1.8895,40,27.3575,6.143,2.4735,85.7145,93.188,0,326.8177143,312.25,605.5,264,322.1362832,311.5,460.5,264,1.5,103.75,116,1,1.176588095,143.5,0,127.5,0,7,484.2856429,143.5,127.5
253,480,0.55,0.7255,602.2,115.25,5.5,1.635,31.435,21.45,3.9,1.65,65,22.35,3,332.75,317.75,624,266.5,324.6,315.5,475.5,266.5,2.5,75,232.5,0.5,0.6,105,0,105.55,0,3.5,593.7,105,105.55
254,360,0,0,428.5715,103.51,7.7855,0.567,25.714,43.916,5.857,1.464,150.714,291.884,0,326.6580087,307.5,818,255.5,314.8167436,306.25,486,255.5,2.5,179.9166667,475.5,3,3.841991342,124.925,0.5,121.825,0,7.5,402.857,127.425,121.825
255,404.5,1.857,1.1015,449.4285,52.3865,7.2855,1.195,57.0715,32.5675,7.2145,2.5845,93.9285,46.569,1.5,384.869,366,727.5,287.5,369.8925,359.5,492,287.5,6.5,59.42855,395,0.5,0.588235,136.5,0,125.5,0,8,449.4285,136.5,125.5
256,450,0.857,0.652,432.857,101.799,7.071,1.055,63.5715,19.164,6.0715,1.3645,4.2855,11.339,0,373.2072976,366.75,592,285,368.8229019,364,499.5,285,2,65.6665,115,0,0,138.5,0,131.5,0,7,467.143,138.5,131.5
257,500,0.787,0.82,481.415,55.86,7.2,1.55,47.775,23.81,4.15,2.53,0,0,3,326.05,309.55,557,258,323.3,309,500,258,1,57,57,2,2.42,138.5,0,135,0,6.5,481.43,138.5,135
258,420,0,0,477.857,79.2475,6,1.5895,55.7145,36.3445,5.4285,2.3985,186.4285,82.3085,1,305.96205,303.7184,451,256.5,306.18045,296,451,256.5,0,NA,NA,1.5,1.782337,153.5,0.5,146.5,0,6,473.5715,156,146.5
259,525,1.0715,0.972,526.4285,54.1635,7.143,1.2435,34.286,20.702,4.857,1.514,91.0715,41.1705,0,442.302711,332,5614.5,259.5,335.6725914,329.5,430.5,259.5,4,1117.5715,7748,0,0,150,0,140,0,8,515,150,140
260,495,0.286,0.488,506.0715,81.444,6.536,1.8945,42.857,30.531,6.643,1.7075,161.0715,84.5365,2,351.5176671,338,773,284,342.2260181,337,442,284,3,119,315,1,1.2345679,117.42,0,112.585,0,5,491.7835,117.42,112.585
261,457.5,2.143,1.373,470,27,6.7855,1.0505,46.0715,18.6245,7.429,1.6625,1.57,0,0,385,356,1849.5,292.5,358.05,352.5,479,292.5,3.5,387.75,1554,1,1.25,128,0,178,0,3.5,470,128,178
262,465,0.857,0.5325,457.5,29.637,6.5,1.3295,102.143,30.138,6.1425,1.728,283.5715,46.4165,0,326.79095,321.5,452.5,260.5,326.79095,321.5,452.5,260.5,0,NA,NA,0,0,124.5,0,108.5,0,6,457.5,124.5,108.5
263,502.5,0.6425,0.866,443.9285,92.851,6.714,1.568,22.5,25.377,4.7855,2.5865,30.929,37.8265,0,340.2027782,320,1056,260.5,328.9110257,318,473.5,260.5,1.5,360.25,621,0,0,134.5,0,121,0,8,440.7145,134.5,121
264,560.5,0,0,474.6425,87.2725,7.857,1.0435,39.0715,19.2995,5.714,2.1955,3.2145,8.504,0,437.4556962,408.75,1183,287,387.8293043,380.75,495.5,287,16,132.91665,2060,2.5,3.18954007,174,0,280,0,5.5,461.4285,174,280
265,457,0.3575,0.6455,457.714,45.37,7.214,1.3085,29.643,17.023,6.357,2.029,3.2145,8.504,0,342.8927003,327,654,271,335.7038543,325.5,486,271,2.5,109,200.5,2,2.39546421,118.27,0,109.395,0,6.5,457.714,118.27,109.395
266,465,1.2145,1.2135,420,102.9475,6.5,1.155,79.2855,75.764,6.2855,1.14,220,101.5295,3.5,314.37575,306.25,436.5,253.5,314.37575,306.25,436.5,253.5,0,NA,NA,0.5,0.5813955,109.215,0,98.89,0,6,420,109.215,98.89
267,450,0.2855,0.488,418,109.1725,5.4295,1.614,184.357,101.182,4.857,2.1035,149.9285,111.3555,2,342,332.5,570,237,338.5,332,486,237,1,70,70,2.5,3.228,135,0,137.5,0,3.5,413.5,135,137.5
268,480,0.286,0.4565,427.572,99.7525,7.2835,0.925,37.427,37.7775,6.7145,0.896,10,26.454,0,397.1604939,358.5,1545.5,245,359.8581081,351,493,245,7.5,249.2857143,1863.5,1.5,1.867283951,145.5,0.5,133.5,0,6.5,458.35,148,133.5
269,465,0,0,475.714,243.5265,10,0,122.143,59.192,2,0,0,0,0,333.91,322.5,551.5,255.5,328.41,322,463,255.5,2,NA,NA,1.5,1.85,130.5,0,114,0,8.5,475.714,130.5,114
270,472.5,0.5715,1.0205,448.643,78.725,7.2145,1.2645,12.9285,25.835,4.9285,2.0175,11.7145,22.441,3.5,318.3145,310,475.5,265.5,317.0432,310,426.5,265.5,0.5,NA,NA,1,1.234568,166.45,0,146.905,0,6.5,429.357,166.45,146.905
271,577.5,1.714,1.6955,477.5,65.515,5.5715,2.02,156.0715,33.974,8,0.535,328.7145,122.6275,0,375.349,360,813.5,284.5,358.4464,352.5,462,284.5,5,112.14285,659,1.5,1.8774065,109.245,0.5,102.085,0,4,260.3575,111.745,102.085
272,495,1.786,1.579,435.357,205.6015,5.643,2.2125,66.4285,24.619,5.0715,1.812,263.2145,91.2185,0,396.1675305,373,893.5,303,380.1882716,369.75,495,303,4.5,109.9375,778,3,3.68902439,131.89,0,119.75,0,7,417.5,131.89,119.75
273,440,0.4285,0.5115,0,0,6.0715,1.0505,41.0715,8.344,7.286,0.8535,0,0,0,326.1538,321,432.5,268.5,326.1538,321,432.5,268.5,0,NA,NA,0,0,128.395,0,114.525,0,6,418.9285,128.395,114.525
274,510,0,0,546.429,26.378,6.2145,1.164,59.6425,19.2665,4.857,1.132,38.214,31.642,0,414.0934066,389,884,266,374.5263327,369.25,486,266,12.5,139.2305195,1634.5,1.5,1.877289377,114.5,0,111.5,0,5,546.429,114.5,111.5
275,265,0.9285,1.112,496.9285,84.6835,6.143,2.5945,54.643,48.544,2.786,1.0225,40.7145,48.027,0.5,293.2766,283.5,572.5,243.5,289.7690665,283.5,411.5,243.5,1,NA,NA,2,2.484568,133.52,0.5,124.07,0,4.5,460.071,136.02,124.07
276,445,0,0,469.643,70.8085,6.5,2.0525,27.8575,35.7415,4.857,1.8185,315.214,125.9195,0.5,377.19475,352.5,774.5,269.5,354.6074,342.5,493,269.5,6.5,107.55555,898,1,1.266,130.755,0,120.705,0,4,469.643,130.755,120.705
277,545,0.857,0.8795,528.214,53.865,6.786,1.1705,57.143,14.2725,6.429,1.174,34.2855,76.0935,7,394.5745,343,2011,241.5,343.6815,336.5,482,241.5,9,298.833,2689.5,2,2.4645,119,0,128.5,0,6,522.5,119,128.5
278,475,1.7145,1.14,501.4285,30.065,8.5715,1.315,58.214,38.7855,8.7145,0.488,155.7855,57.5875,0,330.9562092,324.5,472,281,330.9562092,324.5,472,281,0,NA,NA,0.5,0.588235294,112.5,0,104.5,0,9,499.2855,112.5,104.5
279,321,1.6425,2.104,367,93.855,6.2855,1.1615,86.7855,32.705,7.1425,0.95,253.5715,9.449,0,334.4266195,323,570,249,329.9121622,322.25,480.5,249,1.5,53,97.5,9,11.80836707,132.5,0,139,0,5,359.857,132.5,139
280,530,0.5,0.535,476.4285,89.1295,4.3575,1.3655,55,43.637,7,0.7885,203.2145,90.3845,1.5,292.9325,289,394,254,292.9342949,289,394,254,0,NA,NA,1.5,1.777389141,123.5,0,99,0,5,473.2145,123.5,99
281,442.5,0.5,0.535,448.9285,74.775,5.857,2.1075,28.2145,11.3985,5.9285,2.0035,77.857,93.8695,0,380.16925,345,1026,278,352.61135,335.5,486,278,7,185.95455,1193.5,2.5,3.173077,123,0,109,1,3.5,446.786,123,114
282,502.5,0.0715,0.189,515.6425,123.085,6.643,1.7245,180.7145,66.4885,3.4285,1.5075,26.357,25.937,0,338.3915285,326,523,257.5,335.1418785,325.25,461.5,257.5,1,NA,NA,8,10.6863441,130.5,0,118,0,6.5,480.643,130.5,118
283,486.5,0.3575,0.6375,466.5715,65.451,6.1785,1.5375,62.143,38.833,6.1785,1.936,77,61.778,0,340.20475,327.25,737,277.5,332.62255,324.75,496.5,247.5,2,142.25,284.5,0.5,0.595238,145,0,132,0,6.5,454.4285,145,132
284,345,0.714,1.1025,350,77.66,5.214,2.0915,126.4285,72.6585,5.643,1.772,5.7145,15.1185,0,356.91795,343.5,654,267.5,347.9214,339,485,267.5,3.5,NA,NA,0.5,0.617,113.5,0,110,0,3,326.4285,113.5,110
285,500,4.75,1.7995,500.512,81.297,6.2265,2.5305,34.8215,26.6135,6.131,1.1295,122.5,51.235,1.5,347.9577,334.75,552.5,268.5,343.1896,334.5,469.5,268.5,2,51.835,67.5,2,2.583077,136.5,0,118.5,0,7,463.488,136.5,118.5
286,475,0.4285,0.567,436.0715,60.521,4.857,1.814,5.7145,11.339,4.2855,2.1885,17.143,29.277,0,379.6782424,361.5,739,284.5,364.6766569,359.5,482.5,284.5,5.5,85.17857145,526.5,0.5,0.588235294,165.765,0.5,149.08,1.5,4.5,433.5715,168.265,156.58
287,585,0.429,0.482,6.4285,13.5375,8.0715,1.6555,22.5,13.306,2.619,2.428,85.2145,93.4465,0,303.4126435,294.75,495,279.0696203,275.3,294.5,431.5,252.5,0.5,NA,NA,1.5,1.898734177,155.5,2,157,1,6,586.643,165.5,162
288,429.5,1.5355,0.747,451.0715,35.1305,5.5,1.8685,43.5715,6.77,8.1425,1.326,64.2855,8.504,0,316.1586119,311.25,420,247,316.1586119,311.25,420,247,0,NA,NA,1.5,1.836796146,130.96,0,125.53,0,4,451.0715,130.96,125.53
289,137.5,0.0715,0.189,329.743,62.0185,4.4285,1.711,0,0,3.643,1.5055,117.619,110.067,0.5,363.62405,337.5,895,156.5,344.5666667,335.5,484,156.5,4.5,109.718034,820.5,3.5,4.4303795,160.885,0,167.06,0,5,319.029,160.885,167.06
290,540,0.286,0.4565,509.2855,44.416,7.5715,1.2645,45.714,48.6205,6.214,1.8815,10.857,16.943,0,317.41345,308,471.5,238.5,316.125,307.75,450.5,238.5,0.5,NA,NA,1.5,1.8770515,170.5,0,152,0,6.5,509.2855,170.5,152
291,432.5,1.1425,1.134,554.0835,105.7835,7.1425,1.1195,55.357,11.793,4.75,1.7305,34.2855,47.2075,0,406.21245,389.25,783.5,286,363.02685,350.5,475,286,16.5,73.13,1429,2,2.470476,150,0,168.5,0,6,515.286,150,168.5
292,382.5,0,0,469.2855,82.4915,5.9285,1.8055,6.4285,8.018,6.4285,1.246,250,53.452,7,330.05625,315,586.5,260.5,321.1001234,314.5,466,260.5,1.5,NA,100,6,7.5,145,0,136,0,4,456.4285,145,136
293,375,0.143,0.378,422.1425,77.1,5.286,1.8065,0,0,5.571,1.7155,30.357,37.9485,0,362.4841772,339,1117,246,337.2621753,337.75,484,246,5,205.3571429,1161.5,3,3.789556962,148.31,0,140.785,0,3,417.857,148.31,140.785
294,450,1.786,1.7365,515.357,126.7105,3,1.76,39.643,17.0055,6.857,1.814,225,182.0885,1,345.54985,327.5,660,263,335.65015,325.75,481.5,263,3.5,73.875,240,0.5,0.595238,145,0,137.5,0,1.5,480.357,145,137.5
295,351.5,0.2145,0.567,528.429,138.95,4.0715,2.38,25.714,28.6115,4.286,2.059,0,0,0,375.96685,348,1070.5,281.5,351.61495,342.5,496,281.5,4.5,249.41685,1276.5,1.5,1.898734,173.5,0,165.5,0,5.5,253.286,173.5,165.5
296,480,1.2855,0.896,483.5715,45.101,6.4285,1.433,81.7855,22.919,3.2855,2.087,225,76.82,2.5,361.2023,351.5,510,281.5,358.46795,351,496.5,281.5,1.5,NA,NA,0,0,124.67,0,133.285,0,5.5,473.5715,124.67,133.285
297,405,0.6425,0.869,475.7145,55.49,5.214,1.4815,81.4285,36.698,4.857,1.9365,131.7855,75.459,3,354.2345679,343.5,516,289.5,356.21625,347.75,476,290.5,0.5,NA,NA,0,0,173.02,2.5,159.83,0,3,475.7145,185.52,159.83
